R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE,,,,
79,2,papua,west_papua,plts_manokwari,solar,15,0,2029,Plan,PLN,,1,560000,0,0,10000,0,0,15,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,,
80,2,papua,west_papua,plts_manokwari_eks_apbn,solar,2,0,2022,Plan,IPP,,1,560000,0,0,10000,0,0,2,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,,
81,2,papua,west_papua,pltmg_raja_ampat,gas,10,0,2022,Plan,PLN,,1,730000,0,0,22500,0,2.23,10,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0,,,,
82,2,papua,west_papua,pltmg_sorong_2,gas,50,0,2022,Plan,PLN,,1,730000,0,0,22500,0,2.23,50,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0,,,,
83,2,papua,west_papua,pltu_sorong_ex_timika,coal,28,0,2023,Construction,PLN,,-1,1600000,0,0,43900,0,0.12,28,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,,
84,2,papua,west_papua,plt_ebt_base_sorong_3,gas,50,0,2029,Plan,PLN,,1,730000,0,0,22500,0,2.23,50,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0,,,,
85,2,papua,west_papua,pltm_waigo,hydropower,1.3,0,2029,Plan,PLN,,1,2200000,0,0,40200,0,0.48,1.3,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,,
86,2,papua,west_papua,pltmg_sorong,gas,20,0,2026,Plan,IPP,,1,730000,0,0,22500,0,2.23,20,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0,,,,
87,2,papua,west_papua,west_papua_solar_potential_ruen,solar,6307,0,,,,,1,560000,0,0,10000,0,0,6307,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,,
88,2,papua,west_papua,west_papua_wind_potential_ruen,wind,437,0,,,,,1,1280000,0,0,51000,0,0,437,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,,
89,2,papua,west_papua,west_papua_hydropower_mini_potential_ruen,hydropower_mini,3,0,,,,,1,2200000,0,0,40200,0,0.48,3,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,,
90,2,papua,west_papua,west_papua_biomass_potential_ruen,biomass,50.8,0,,,,,1,1820000,0,0,43800,0,2.8,50.8,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,1,,,,
91,2,papua,west_papua,west_papua_biogas_potential_ruen,biogas,4.1,0,,,,,1,2150000,0,0,89200,0,0.1,4.1,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,1,,,,
92,1,papua,papua,gas_candidate_1,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
93,1,papua,papua,gas_candidate_2,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
94,1,papua,papua,gas_candidate_3,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
