r_id,amamapare_port_power_station_unit_1,amamapare_port_power_station_unit_2,amamapare_port_power_station_unit_3,amamapare_port_power_station_solar,amamapare_port_power_station_solar,amamapare_port_power_station_solar,amamapare_port_power_station_solar,amamapare_port_power_station_solar,bp_berau_ltd,bp_berau_ltd_solar,bp_berau_ltd_solar,bp_berau_ltd_solar,bp_berau_ltd_solar,bp_berau_ltd_solar,bp_berau_ltd_wind,amamapare_port_power_station_battery,bp_berau_ltd_battery
207,1,1,1,0.186,0.186,0.186,0.186,0.186,1,0.298,0.298,0.298,0.298,0.298,0,1,1
208,1,1,1,0.068,0.068,0.068,0.068,0.068,1,0.172,0.172,0.172,0.172,0.172,0,1,1
209,1,1,1,0.006,0.006,0.006,0.006,0.006,1,0.047,0.047,0.047,0.047,0.047,0,1,1
210,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
211,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.001,1,1
212,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.002,1,1
213,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.002,1,1
214,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.002,1,1
215,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.002,1,1
216,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.002,1,1
217,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.001,1,1
218,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
219,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.001,1,1
220,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.002,1,1
221,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.004,1,1
222,1,1,1,0.077,0.077,0.077,0.077,0.077,1,0.013,0.013,0.013,0.013,0.013,0.005,1,1
223,1,1,1,0.218,0.218,0.218,0.218,0.218,1,0.09,0.09,0.09,0.09,0.09,0.003,1,1
224,1,1,1,0.366,0.366,0.366,0.366,0.366,1,0.218,0.218,0.218,0.218,0.218,0,1,1
225,1,1,1,0.482,0.482,0.482,0.482,0.482,1,0.339,0.339,0.339,0.339,0.339,0,1,1
226,1,1,1,0.542,0.542,0.542,0.542,0.542,1,0.418,0.418,0.418,0.418,0.418,0,1,1
227,1,1,1,0.539,0.539,0.539,0.539,0.539,1,0.457,0.457,0.457,0.457,0.457,0,1,1
228,1,1,1,0.481,0.481,0.481,0.481,0.481,1,0.466,0.466,0.466,0.466,0.466,0,1,1
229,1,1,1,0.369,0.369,0.369,0.369,0.369,1,0.428,0.428,0.428,0.428,0.428,0,1,1
230,1,1,1,0.243,0.243,0.243,0.243,0.243,1,0.367,0.367,0.367,0.367,0.367,0,1,1
231,1,1,1,0.156,0.156,0.156,0.156,0.156,1,0.259,0.259,0.259,0.259,0.259,0,1,1
232,1,1,1,0.057,0.057,0.057,0.057,0.057,1,0.136,0.136,0.136,0.136,0.136,0,1,1
233,1,1,1,0.003,0.003,0.003,0.003,0.003,1,0.03,0.03,0.03,0.03,0.03,0,1,1
234,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
235,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.002,1,1
236,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.004,1,1
237,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
238,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.001,1,1
239,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.001,1,1
240,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.006,1,1
241,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.019,1,1
242,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.033,1,1
243,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.049,1,1
244,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.058,1,1
245,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.059,1,1
246,1,1,1,0.044,0.044,0.044,0.044,0.044,1,0.008,0.008,0.008,0.008,0.008,0.039,1,1
