R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,JETP,post_JETP,JETP_r,RE,priority
347,2,jawa_bali,banten,gas_candidate_1,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
348,2,jawa_bali,banten,gas_candidate_2,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
349,2,jawa_bali,banten,gas_candidate_3,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
350,2,jawa_bali,banten,gas_candidate_4,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
351,2,jawa_bali,banten,ccgt_candidate_1,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0,0,1,0,2
352,2,jawa_bali,banten,ccgt_candidate_2,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0,0,1,0,2
353,2,jawa_bali,banten,ccgt_candidate_3,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0,0,1,0,2
354,2,jawa_bali,banten,ccgt_candidate_4,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0,0,1,0,2
355,2,jawa_bali,banten,diesel_candidate_1,diesel,50,0,,potential,,,1,800000,0,0,8000,0,6,50,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0,0,1,0,0
356,2,jawa_bali,banten,diesel_candidate_2,diesel,50,0,,potential,,,1,800000,0,0,8000,0,6,50,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0,0,1,0,0
357,2,jawa_bali,banten,diesel_candidate_3,diesel,50,0,,potential,,,1,800000,0,0,8000,0,6,50,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0,0,1,0,0
358,2,jawa_bali,banten,diesel_candidate_4,diesel,50,0,,potential,,,1,800000,0,0,8000,0,6,50,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0,0,1,0,0
359,3,jawa_bali,west_jawa,gas_candidate_1,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
360,3,jawa_bali,west_jawa,gas_candidate_2,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
361,3,jawa_bali,west_jawa,gas_candidate_3,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
362,3,jawa_bali,west_jawa,gas_candidate_4,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
363,3,jawa_bali,west_jawa,ccgt_candidate_1,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0,0,1,0,2
364,3,jawa_bali,west_jawa,ccgt_candidate_2,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0,0,1,0,2
365,3,jawa_bali,west_jawa,ccgt_candidate_3,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0,0,1,0,2
366,3,jawa_bali,west_jawa,ccgt_candidate_4,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0,0,1,0,2
367,3,jawa_bali,west_jawa,diesel_candidate_1,diesel,50,0,,potential,,,1,800000,0,0,8000,0,6,50,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0,0,1,0,0
368,3,jawa_bali,west_jawa,diesel_candidate_2,diesel,50,0,,potential,,,1,800000,0,0,8000,0,6,50,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0,0,1,0,0
369,3,jawa_bali,west_jawa,diesel_candidate_3,diesel,50,0,,potential,,,1,800000,0,0,8000,0,6,50,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0,0,1,0,0
370,3,jawa_bali,west_jawa,diesel_candidate_4,diesel,50,0,,potential,,,1,800000,0,0,8000,0,6,50,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0,0,1,0,0
371,4,jawa_bali,central_jawa,gas_candidate_1,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
372,4,jawa_bali,central_jawa,gas_candidate_2,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
373,4,jawa_bali,central_jawa,gas_candidate_3,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
