# developable solar land per village, derived from usable_land_ntt.shp
# region=Kupang|Kota Kupang|Timor Tengah Selatan|Timor Tengah Utara|Belu excluded_classes=Settlement Area mwp_per_km2=50 max_radius_km=10
# nearest-village allocation; land beyond the radius (0.0 km²) is not attributed to any village
Village,developable_km2,developable_MW,source
556,1.8823,94.12,sited
557,2.1926,109.63,sited
558,5.3482,267.41,sited
559,0.9997,49.98,sited
560,6.7866,339.33,sited
561,0.0,233.6,fallback
562,5.2806,264.03,sited
563,5.6609,283.04,sited
564,4.1383,206.92,sited
565,2.6144,130.72,sited
566,1.5416,77.08,sited
567,1.3309,66.55,sited
568,0.4366,21.83,sited
569,0.5109,25.55,sited
570,0.5589,27.94,sited
571,0.774,38.7,sited
572,1.2171,60.85,sited
573,0.9226,46.13,sited
574,0.6383,31.92,sited
575,0.2101,10.51,sited
576,0.7528,37.64,sited
577,0.3446,17.23,sited
578,1.3737,68.69,sited
579,0.1742,8.71,sited
580,0.9712,48.56,sited
581,0.0,233.6,fallback
582,1.1431,57.16,sited
583,1.5416,77.08,sited
584,0.0,233.6,fallback
585,1.4804,74.02,sited
586,1.1431,57.16,sited
587,0.55,27.5,sited
588,11.6563,582.82,sited
589,14.7836,739.18,sited
590,14.4397,721.98,sited
591,2.4458,122.29,sited
592,0.0,233.6,fallback
593,7.2321,361.61,sited
594,12.6348,631.74,sited
595,14.9792,748.96,sited
596,13.6962,684.81,sited
597,7.5232,376.16,sited
598,0.7343,36.72,sited
599,3.0556,152.78,sited
600,2.2667,113.34,sited
601,7.3787,368.93,sited
602,11.3517,567.59,sited
603,3.0161,150.8,sited
604,7.1311,356.55,sited
605,8.4122,420.61,sited
606,11.5061,575.3,sited
607,10.0808,504.04,sited
608,2.4003,120.02,sited
609,2.0147,100.74,sited
610,2.493,124.65,sited
611,1.784,89.2,sited
612,1.1176,55.88,sited
613,1.4966,74.83,sited
614,0.963,48.15,sited
615,2.8677,143.38,sited
616,0.0,233.6,fallback
617,3.2022,160.11,sited
618,3.9579,197.89,sited
619,0.0,233.6,fallback
620,0.0,233.6,fallback
621,4.6981,234.91,sited
622,8.3114,415.57,sited
623,0.0,233.6,fallback
624,0.0,233.6,fallback
625,5.9685,298.42,sited
626,9.2114,460.57,sited
627,1.5331,76.65,sited
628,1.7939,89.69,sited
629,2.8209,141.05,sited
630,0.0,233.6,fallback
631,2.5102,125.51,sited
632,0.8245,41.23,sited
633,1.0431,52.16,sited
634,3.6448,182.24,sited
635,1.6196,80.98,sited
636,6.4251,321.26,sited
637,2.5843,129.21,sited
638,1.8671,93.35,sited
639,0.5308,26.54,sited
640,0.6013,30.06,sited
641,2.1972,109.86,sited
642,4.8423,242.11,sited
643,3.1707,158.54,sited
644,3.3256,166.28,sited
645,3.645,182.25,sited
646,3.4046,170.23,sited
647,1.2377,61.89,sited
648,0.0,233.6,fallback
649,1.5592,77.96,sited
650,1.2328,61.64,sited
651,1.6535,82.68,sited
652,1.7778,88.89,sited
653,1.4166,70.83,sited
654,2.1232,106.16,sited
655,0.5993,29.97,sited
656,1.1805,59.03,sited
657,0.0,233.6,fallback
658,0.3124,15.62,sited
659,0.4196,20.98,sited
660,0.0,233.6,fallback
661,0.7093,35.47,sited
662,0.3454,17.27,sited
663,0.6655,33.28,sited
664,0.4928,24.64,sited
665,2.3387,116.93,sited
666,2.8331,141.66,sited
667,2.6772,133.86,sited
668,3.0332,151.66,sited
669,0.0,233.6,fallback
670,2.2233,111.17,sited
671,1.0969,54.85,sited
672,2.9424,147.12,sited
673,2.6254,131.27,sited
674,1.9247,96.24,sited
675,1.3945,69.73,sited
676,2.3154,115.77,sited
677,0.0,233.6,fallback
678,3.7925,189.63,sited
679,2.1298,106.49,sited
680,0.2535,12.67,sited
681,3.3191,165.96,sited
682,0.0,233.6,fallback
683,0.0,233.6,fallback
684,3.9444,197.22,sited
685,4.499,224.95,sited
686,3.0317,151.59,sited
687,4.3607,218.03,sited
688,3.7253,186.26,sited
689,4.647,232.35,sited
690,4.5128,225.64,sited
691,4.1828,209.14,sited
692,0.0,233.6,fallback
693,4.3486,217.43,sited
694,0.0,233.6,fallback
695,2.6036,130.18,sited
696,2.8355,141.77,sited
697,2.4057,120.28,sited
698,4.3322,216.61,sited
699,4.0939,204.69,sited
700,3.0561,152.81,sited
701,3.7877,189.39,sited
702,3.44,172.0,sited
703,2.9908,149.54,sited
704,3.4267,171.34,sited
705,5.0009,250.05,sited
706,11.5601,578.0,sited
707,11.0698,553.49,sited
708,0.0,233.6,fallback
709,0.0,233.6,fallback
710,0.0,233.6,fallback
711,14.0822,704.11,sited
712,2.7468,137.34,sited
713,2.1062,105.31,sited
714,3.0233,151.17,sited
715,3.4627,173.14,sited
716,3.0003,150.01,sited
717,2.1552,107.76,sited
718,3.6937,184.68,sited
719,3.7589,187.95,sited
720,3.9282,196.41,sited
721,2.1071,105.36,sited
722,5.4401,272.0,sited
723,3.9319,196.6,sited
724,2.8099,140.5,sited
725,3.3321,166.6,sited
726,1.443,72.15,sited
727,7.2111,360.55,sited
728,0.0,233.6,fallback
729,3.24,162.0,sited
730,3.9907,199.53,sited
