Village,kabupaten,kecamatan,desa,archetype,households,ghi,ghi_matched,lat,lon,annual_kwh,peak_mw,diesel_mw
191,KUPANG,KELAPA LIMA,OESAPA BARAT,trade,1911,5.651,False,,,2371551,0.53521,0.5887
192,KUPANG,KELAPA LIMA,OESAPA SELATAN,government,589,5.651,False,,,730949,0.16496,0.1815
193,KUPANG,KOTA LAMA,AIR MATA,trade,455,5.651,False,,,564655,0.12743,0.1402
194,KUPANG,KOTA LAMA,BONIPOI,trade,340,5.651,False,,,421940,0.09522,0.1047
195,KUPANG,KOTA LAMA,FATUBESI,trade,1021,5.651,False,,,1267061,0.28595,0.3145
196,KUPANG,KOTA LAMA,LAHILAI BISSI KOPAN,trade,200,5.651,False,,,248200,0.05601,0.0616
197,KUPANG,KOTA LAMA,MERDEKA,trade,269,5.814,True,-10.08206116682106,123.7775078558766,333829,0.07534,0.0829
198,KUPANG,KOTA LAMA,NEFONAEK,trade,662,5.651,False,,,821542,0.1854,0.2039
199,KUPANG,KOTA LAMA,OEBA,trade,1121,5.651,False,,,1391161,0.31395,0.3453
200,KUPANG,KOTA LAMA,PASIR PANJANG,trade,1366,5.651,False,,,1695206,0.38257,0.4208
201,KUPANG,KOTA LAMA,SOLOR,trade,627,5.651,False,,,778107,0.1756,0.1932
202,KUPANG,KOTA LAMA,TODEKISAR,government,229,5.651,False,,,284189,0.06414,0.0705
203,KUPANG,KOTA RAJA,AIR NONA,trade,1441,5.651,False,,,1788281,0.40357,0.4439
204,KUPANG,KOTA RAJA,BAKUNASE,horticulture,1154,5.651,False,,,1432114,0.3232,0.3555
205,KUPANG,KOTA RAJA,BAKUNASE II,trade,1371,5.651,False,,,1701411,0.38397,0.4224
206,KUPANG,KOTA RAJA,FONTEIN,trade,975,5.651,False,,,1209975,0.27306,0.3004
207,KUPANG,KOTA RAJA,KUANINO,government,1193,5.651,False,,,1480513,0.33412,0.3675
208,KUPANG,KOTA RAJA,NAIKOTEN I,trade,1658,5.651,False,,,2057578,0.46435,0.5108
209,KUPANG,KOTA RAJA,NAIKOTEN II,government,472,5.651,False,,,585752,0.13219,0.1454
210,KUPANG,KOTA RAJA,NUNLEU,trade,1021,5.651,False,,,1267061,0.28595,0.3145
211,KUPANG,KUPANG BARAT,BATAKTE,horticulture,356,5.6104,True,-10.25756223791798,123.5549734576429,441796,0.0997,0.1097
212,KUPANG,KUPANG BARAT,BOLOK,trade,720,5.6364,True,-10.23430778630714,123.5132267987904,893520,0.20165,0.2218
213,KUPANG,KUPANG BARAT,KUANHEUM,rice,411,5.7606,True,-10.17367464530846,123.867483017995,510051,0.11511,0.1266
214,KUPANG,KUPANG BARAT,LIFULEO,rice,313,5.8947,True,-10.33704008329197,123.4905556750941,388433,0.08766,0.0964
215,KUPANG,KUPANG BARAT,MANULAI I,trade,384,5.5802,True,-10.23383839162601,123.5667745011958,476544,0.10755,0.1183
216,KUPANG,KUPANG BARAT,NITNEO,rice,344,5.6231,True,-10.22526939723449,123.5315997488058,426904,0.09634,0.106
