Village,gen_cost,solar_cost,diesel_cost,battery_power_cost,battery_energy_cost,total_cost
93,265210.0816335847,198532.33561367413,27438.10612633545,39239.639893575135,285216.59007477964,550426.6717083643
94,38948.011973524786,29155.830642557237,4029.5670445955366,5762.6142863720115,41886.00824618328,80834.02021970807
95,12793.03832413216,9516.269864731205,1348.3130196552806,1928.455439745674,14016.584793866285,26809.623117998446
96,13158.054545578985,9805.271268303302,1379.620935460399,1973.1623418152828,14342.657729793702,27500.712275372687
97,24498.729632893966,18250.180818187735,2571.3056992280267,3677.2431154782066,26728.133705055363,51226.863337949326
98,12685.273932066673,9446.40981207293,1332.6796139916296,1906.1845060021137,13853.640944186516,26538.91487625319
99,13481.167986749224,10032.891325507484,1419.0265670758802,2029.2500941658607,14749.69972299068,28230.867709739905
100,54562.23803848362,40654.24896946778,5722.726278821395,8185.2627901944525,59486.2181883907,114048.45622687432
101,29213.68167530491,21783.759826551468,3057.3746648987385,4372.547183854701,31782.16415480127,60995.84583010618
102,35871.001507971465,26802.392920861734,3731.5093602192105,5337.099226890522,38790.31368040865,74661.31518838012
103,43564.83679657988,32533.84816288406,4539.056418726699,6491.932214969122,47185.50601495884,90750.34281153872
104,51107.26896673233,38152.55568419701,5330.738273305188,7623.975009230132,55414.85203610681,106522.12100283914
105,29151.975129889528,21721.90003222423,3057.374665298974,4372.700432366328,31782.80929462641,60934.784424515936
106,19103.37838561464,14245.404344006702,1999.0206990981299,2858.9533425098098,20780.343700154834,39883.72208576948
107,19424.48672664826,14470.807330203452,2038.2531519294535,2915.4262445153554,21188.172910466,40612.659637114266
108,28036.42162611927,20987.69641387362,2900.5348375785193,4148.190374667135,30151.49720347015,58187.91882958942
109,31940.741868623743,23748.818389030625,3370.9305139494745,4820.992965643642,35041.361459569336,66982.10332819307
110,22378.425448312264,16701.02873714215,2336.3063604032172,3341.090350766894,24285.25478809328,46663.68023640555
111,39115.13499948877,29265.534144639325,4053.041093477376,5796.559761372067,42131.71527004278,81246.85026953155
112,44018.127838403736,33102.327800046725,4492.007388012331,6423.792650344677,46693.193295658995,90711.32113406273
113,61833.50652318158,46154.25491061917,6451.828148727117,9227.423463835292,67065.2828013681,128898.78932454968
114,31057.2186551234,23208.334403208442,3229.8330691349197,4619.051182780041,33573.33193720599,64630.5505923294
115,31136.821430469605,23230.993855822642,3253.2815374518314,4652.54603719513,33818.057333594326,64954.878764063935
116,32076.689009613816,23979.888790105,3331.827441293503,4764.972778215312,34633.17043775942,66709.85944737324
