R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,JETP,post_JETP,JETP_r,RE,priority
54,3,kalimantan,central_kalimantan,pltu_pulang_pisau_ftp_1,coal,120,0,,operating,pln,,-1,1360000,0,0,40000,0,0.12,120,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,0,
55,3,kalimantan,central_kalimantan,bangkanai_ftp2,gas,140,0,2021,construction,pln,,0,730000,0,0,22500,0,2.23,140,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,,,0,
56,3,kalimantan,central_kalimantan,dedieselisasi,solar,8.7,0,2023,plan,ipp,,1,560000,0,0,10000,0,0,8.7,0,1,1,0,0,0,0,None,0,0,0,0,0,1,0,0,,,1,
57,3,kalimantan,central_kalimantan,kalteng_relokasi_,coal,100,0,2024,relocation,pln,,0,1360000,0,0,40000,0,0.12,100,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,0,
58,3,kalimantan,central_kalimantan,lisdes_kalteng,solar,5.65,0,2024,plan,pln,,1,560000,0,0,10000,0,0,5.65,0,1,1,0,0,0,0,None,0,0,0,0,0,1,0,0,,,1,
59,3,kalimantan,central_kalimantan,dedieselisasi,solar,9.8,0,2025,plan,ipp,,1,560000,0,0,10000,0,0,9.8,0,1,1,0,0,0,0,None,0,0,0,0,0,1,0,0,,,1,
60,3,kalimantan,central_kalimantan,sampit,coal,50,0,2025,construction,pln,,0,1600000,0,0,43900,0,0.12,50,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,0,
61,4,kalimantan,east_kalimantan,pltg_samberag,gas,40,0,,operating,pln,,-1,730000,0,0,22500,0,2.23,40,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,,,0,
62,4,kalimantan,east_kalimantan,pltu_tj_redep_,coal,14,0,,operating,pln,,-1,1600000,0,0,43900,0,0.12,14,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,0,
63,4,kalimantan,east_kalimantan,pltmg_bontang,gas,14,0,,operating,pln,,-1,730000,0,0,22500,0,2.23,14,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,,,0,
64,4,kalimantan,east_kalimantan,pltu_kaltim_ftp_2,coal,200,0,,operating,pln,,-1,1360000,0,0,40000,0,0.12,200,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,0,
65,4,kalimantan,east_kalimantan,pltg_katlim_peaking,gas,100,0,,operating,pln,,-1,730000,0,0,22500,0,2.23,100,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,,,0,
66,4,kalimantan,east_kalimantan,mpp_kaltim_,gas,30,0,,operating,pln,,-1,730000,0,0,22500,0,2.23,30,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,,,0,
67,4,kalimantan,east_kalimantan,pltgu_tanjung_batu,ccgt,60,0,,operating,pln,,-1,660000,0,0,22800,0,2.23,60,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0,,,0,
68,4,kalimantan,east_kalimantan,pltu_embalut_eksp,coal,50,0,,operating,pln,,-1,1600000,0,0,43900,0,0.12,50,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,0,
69,4,kalimantan,east_kalimantan,pltu_kaltlim_4,coal,200,0,,operating,pln,,-1,1360000,0,0,40000,0,0.12,200,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,0,
70,4,kalimantan,east_kalimantan,pltu_katlim_mt,coal,55,0,,operating,pln,,-1,1600000,0,0,43900,0,0.12,55,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,0,
71,4,kalimantan,east_kalimantan,pltg_senipah,gas,82,0,,operating,pln,,-1,730000,0,0,22500,0,2.23,82,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,,,0,
72,4,kalimantan,east_kalimantan,pltg_senipah_st,gas,35,0,,operating,pln,,-1,730000,0,0,22500,0,2.23,35,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,,,0,
73,4,kalimantan,east_kalimantan,pltu_kaltimteluk_balikpapan_ftp_1,coal,520,0,,operating,pln,,-1,1360000,0,0,40000,0,0.12,520,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,0,
74,4,kalimantan,east_kalimantan,lisdes_kaltim,solar,7.2,0,2021,plan,pln,,1,560000,0,0,10000,0,0,7.2,0,1,1,0,0,0,0,None,0,0,0,0,0,1,0,0,,,1,
75,4,kalimantan,east_kalimantan,lisdes_kaltim,solar,5.5,0,2022,plan,pln,,1,560000,0,0,10000,0,0,5.5,0,1,1,0,0,0,0,None,0,0,0,0,0,1,0,0,,,1,
76,4,kalimantan,east_kalimantan,dedieselisasi,solar,24.8,0,2023,plan,ipp,,1,560000,0,0,10000,0,0,24.8,0,1,1,0,0,0,0,None,0,0,0,0,0,1,0,0,,,1,
77,4,kalimantan,east_kalimantan,kaltim_peaker_2,gas,100,0,2023,committed,pln,,0,730000,0,0,22500,0,2.23,100,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,,,0,
78,4,kalimantan,east_kalimantan,lisdes_kaltim,solar,4.1,0,2023,plan,pln,,1,560000,0,0,10000,0,0,4.1,0,1,1,0,0,0,0,None,0,0,0,0,0,1,0,0,,,1,
