Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_ip1,demand_ip2,demand_ip3,demand_ip4
,,,,,,,,,177,1,15,9,2023-01-15T07:30:00+08:00,20,15,297,602
,,,,,,,,,178,1,15,10,2023-01-15T08:30:00+08:00,20,15,297,602
,,,,,,,,,179,1,15,11,2023-01-15T09:30:00+08:00,20,15,297,602
,,,,,,,,,180,1,15,12,2023-01-15T10:30:00+08:00,20,15,297,602
,,,,,,,,,181,1,15,13,2023-01-15T11:30:00+08:00,20,15,297,602
,,,,,,,,,182,1,15,14,2023-01-15T12:30:00+08:00,20,15,297,602
,,,,,,,,,183,1,15,15,2023-01-15T13:30:00+08:00,20,15,297,602
,,,,,,,,,184,1,15,16,2023-01-15T14:30:00+08:00,20,15,297,602
,,,,,,,,,185,1,15,17,2023-01-15T15:30:00+08:00,20,15,297,602
,,,,,,,,,186,1,15,18,2023-01-15T16:30:00+08:00,20,15,297,602
,,,,,,,,,187,1,15,19,2023-01-15T17:30:00+08:00,16,12,237,481
,,,,,,,,,188,1,15,20,2023-01-15T18:30:00+08:00,16,12,237,481
,,,,,,,,,189,1,15,21,2023-01-15T19:30:00+08:00,16,12,237,481
,,,,,,,,,190,1,15,22,2023-01-15T20:30:00+08:00,16,12,237,481
,,,,,,,,,191,1,15,23,2023-01-15T21:30:00+08:00,16,12,237,481
,,,,,,,,,192,1,15,24,2023-01-15T22:30:00+08:00,16,12,237,481
,,,,,,,,,193,1,16,1,2023-01-15T23:30:00+08:00,12,9,178,361
,,,,,,,,,194,1,16,2,2023-01-16T00:30:00+08:00,12,9,178,361
,,,,,,,,,195,1,16,3,2023-01-16T01:40:00+08:00,12,9,178,361
,,,,,,,,,196,1,16,4,2023-01-16T02:40:00+08:00,12,9,178,361
,,,,,,,,,197,1,16,5,2023-01-16T03:40:00+08:00,12,9,178,361
,,,,,,,,,198,1,16,6,2023-01-16T04:40:00+08:00,12,9,178,361
,,,,,,,,,199,1,16,7,2023-01-16T05:40:00+08:00,20,15,297,602
,,,,,,,,,200,1,16,8,2023-01-16T06:40:00+08:00,20,15,297,602
,,,,,,,,,201,1,16,9,2023-01-16T07:40:00+08:00,20,15,297,602
,,,,,,,,,202,1,16,10,2023-01-16T08:40:00+08:00,20,15,297,602
,,,,,,,,,203,1,16,11,2023-01-16T09:40:00+08:00,20,15,297,602
,,,,,,,,,204,1,16,12,2023-01-16T10:40:00+08:00,20,15,297,602
,,,,,,,,,205,1,16,13,2023-01-16T11:40:00+08:00,20,15,297,602
,,,,,,,,,206,1,16,14,2023-01-16T12:40:00+08:00,20,15,297,602
,,,,,,,,,207,1,16,15,2023-01-16T13:40:00+08:00,20,15,297,602
,,,,,,,,,208,1,16,16,2023-01-16T14:40:00+08:00,20,15,297,602
,,,,,,,,,209,1,16,17,2023-01-16T15:40:00+08:00,20,15,297,602
,,,,,,,,,210,1,16,18,2023-01-16T16:40:00+08:00,20,15,297,602
,,,,,,,,,211,1,16,19,2023-01-16T17:40:00+08:00,16,12,237,481
,,,,,,,,,212,1,16,20,2023-01-16T18:40:00+08:00,16,12,237,481
,,,,,,,,,213,1,16,21,2023-01-16T19:40:00+08:00,16,12,237,481
,,,,,,,,,214,1,16,22,2023-01-16T20:40:00+08:00,16,12,237,481
,,,,,,,,,215,1,16,23,2023-01-16T21:40:00+08:00,16,12,237,481
,,,,,,,,,216,1,16,24,2023-01-16T22:40:00+08:00,16,12,237,481
,,,,,,,,,217,1,17,1,2023-01-16T23:40:00+08:00,12,9,178,361
,,,,,,,,,218,1,17,2,2023-01-17T00:40:00+08:00,12,9,178,361
,,,,,,,,,219,1,17,3,2023-01-17T01:40:00+08:00,12,9,178,361
,,,,,,,,,220,1,17,4,2023-01-17T02:40:00+08:00,12,9,178,361
