R_ID,Zone,System,Province,Industrial_Park,Resource,Resource_Other_Name,technology,Existing_Cap_MW,Existing_Cap_MWh,status,Start_Year,Retire_Year,commodity,supported_project,nature_of_support,plant_owner,owner_parent_company,owner_home_country_flag,major_mainland_china_shareholder,financier,epc,mainland_china_involvement_type,industrial_park,combustion_tech,coal_type,coal_source,alternate_fuel,latitude,longitude,hubname,hubdist,class,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE
51,3,sumatera,riau,6,nanshan_industrial_park_power_station_phase_i_unit_2,,coal_captive,30,0,operating,2021,,aluminium,,the_power_plants_were_constructed_to_support_the_industrial_park_as_well_as_the_special_economic_zone_galang_batang_kek,pt_bintan_alumina_indonesia,global_aluminium_international_727_press_metal_aluminium_holdings_bhd_25_pt_mahkota_karya_utama_23,china_malaysia,shandong_nanshan_aluminum_co_ltd__,nanshan_aluminum_singapore_global_aluminum_international_bintan_aluminum_indonesia,china_national_electric_engineering_co_ltd_shandong_branch,owner_financier_epc,bintan_nanshan_industrial_park,subcritical,,,,0.917142,104.6555,,,4,-1,1600000,0,0,43900,0,0.12,30,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
52,3,sumatera,riau,6,nanshan_industrial_park_power_station_phase_i_unit_3,,coal_captive,30,0,operating,2022,,aluminium,,the_power_plants_were_constructed_to_support_the_industrial_park_as_well_as_the_special_economic_zone_galang_batang_kek,pt_bintan_alumina_indonesia,global_aluminium_international_727_press_metal_aluminium_holdings_bhd_25_pt_mahkota_karya_utama_23,china_malaysia,shandong_nanshan_aluminum_co_ltd__,nanshan_aluminum_singapore_global_aluminum_international_bintan_aluminum_indonesia,china_national_electric_engineering_co_ltd_shandong_branch,owner_financier_epc,bintan_nanshan_industrial_park,subcritical,,,,0.917142,104.6555,,,4,-1,1600000,0,0,43900,0,0.12,30,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
53,3,sumatera,riau,6,nanshan_industrial_park_power_station_phase_i_unit_4,,coal_captive,30,0,operating,2022,,aluminium,,the_power_plants_were_constructed_to_support_the_industrial_park_as_well_as_the_special_economic_zone_galang_batang_kek,pt_bintan_alumina_indonesia,global_aluminium_international_727_press_metal_aluminium_holdings_bhd_25_pt_mahkota_karya_utama_23,china_malaysia,shandong_nanshan_aluminum_co_ltd__,nanshan_aluminum_singapore_global_aluminum_international_bintan_aluminum_indonesia,china_national_electric_engineering_co_ltd_shandong_branch,owner_financier_epc,bintan_nanshan_industrial_park,subcritical,,,,0.911643,104.6505,,,4,-1,1600000,0,0,43900,0,0.12,30,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
54,3,sumatera,riau,6,nanshan_industrial_park_power_station_phase_i_unit_5,,coal_captive,30,0,operating,2021,,aluminium,,the_power_plants_were_constructed_to_support_the_industrial_park_as_well_as_the_special_economic_zone_galang_batang_kek,pt_bintan_alumina_indonesia,global_aluminium_international_727_press_metal_aluminium_holdings_bhd_25_pt_mahkota_karya_utama_23,china_malaysia,shandong_nanshan_aluminum_co_ltd__,nanshan_aluminum_singapore_global_aluminum_international_bintan_aluminum_indonesia,china_national_electric_engineering_co_ltd_shandong_branch,owner_financier_epc,bintan_nanshan_industrial_park,subcritical,,,,0.911643,104.6505,,,4,-1,1600000,0,0,43900,0,0.12,30,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
55,3,sumatera,riau,6,nanshan_industrial_park_power_station_phase_i_unit_6,,coal_captive,30,0,operating,2021,,aluminium,,the_power_plants_were_constructed_to_support_the_industrial_park_as_well_as_the_special_economic_zone_galang_batang_kek,pt_bintan_alumina_indonesia,global_aluminium_international_727_press_metal_aluminium_holdings_bhd_25_pt_mahkota_karya_utama_23,china_malaysia,shandong_nanshan_aluminum_co_ltd__,nanshan_aluminum_singapore_global_aluminum_international_bintan_aluminum_indonesia,,owner_financier,bintan_nanshan_industrial_park,subcritical,,,,0.911643,104.6505,,,4,-1,1600000,0,0,43900,0,0.12,30,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
56,3,sumatera,riau,6,nanshan_industrial_park_power_station_geothermal,,geothermal,151.922203,0,,,,,,,,,,,,,,,,,,,0.911643,104.6505,Gardu Induk Kijang,7.005247306,1,1,3440000,0,0,43000,0,0.22,151.922203,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
57,3,sumatera,riau,6,nanshan_industrial_park_power_station_geothermal,,geothermal,1036.52694,0,,,,,,,,,,,,,,,,,,,0.911643,104.6505,Gardu Induk Kijang,7.005247306,1.5,1,3440000,0,0,43000,0,0.22,1036.52694,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
58,3,sumatera,riau,6,nanshan_industrial_park_power_station_geothermal,,geothermal,476.918566,0,,,,,,,,,,,,,,,,,,,0.911643,104.6505,Gardu Induk Kijang,7.005247306,2,1,3440000,0,0,43000,0,0.22,476.918566,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
59,3,sumatera,riau,6,nanshan_industrial_park_power_station_geothermal,,geothermal,586.53175,0,,,,,,,,,,,,,,,,,,,0.911643,104.6505,Gardu Induk Kijang,7.005247306,2.5,1,3440000,0,0,43000,0,0.22,586.53175,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
60,3,sumatera,riau,6,nanshan_industrial_park_power_station_geothermal,,geothermal,540.377676,0,,,,,,,,,,,,,,,,,,,0.911643,104.6505,Gardu Induk Kijang,7.005247306,3,1,3440000,0,0,43000,0,0.22,540.377676,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
