R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE,,,,
64,1,maluku,maluku,gas_candidate_3,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
65,1,maluku,maluku,gas_candidate_4,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
66,1,maluku,maluku,ccgt_candidate_1,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0,0,1,0,2
67,1,maluku,maluku,ccgt_candidate_2,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0,0,1,0,2
68,1,maluku,maluku,ccgt_candidate_3,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0,0,1,0,2
69,1,maluku,maluku,ccgt_candidate_4,ccgt,250,0,,potential,,,1,660000,0,0,22800,0,2.23,250,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0,0,1,0,2
70,1,maluku,maluku,diesel_candidate_1,diesel,50,0,,potential,,,1,800000,0,0,8000,0,6,50,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0,0,1,0,0
71,1,maluku,maluku,diesel_candidate_2,diesel,50,0,,potential,,,1,800000,0,0,8000,0,6,50,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0,0,1,0,0
72,1,maluku,maluku,diesel_candidate_3,diesel,50,0,,potential,,,1,800000,0,0,8000,0,6,50,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0,0,1,0,0
73,1,maluku,maluku,diesel_candidate_4,diesel,50,0,,potential,,,1,800000,0,0,8000,0,6,50,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0,0,1,0,0
