R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,JETP,post_JETP,JETP_r,RE,priority
147,5,sulawesi,southeast_sulawesi,pltm_riorita,hydropower_mini,1.3,0,2024,plan,jetp,,1,2590000,0,0,50900,0,0.48,1.3,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,1,
148,5,sulawesi,southeast_sulawesi,pltm_riorita,hydropower_mini,1.3,0,2024,plan,jetp,,1,2590000,0,0,50900,0,0.48,1.3,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,1,
149,4,sulawesi,south_sulawesi,pltsa_makassar,trash,10,0,tbd,plan,jetp,,1,2500000,0,0,125000,0,13.5,10,0,1,1,0,0,0,0,None,0,0,1,1,0,0,0,1,,,1,
150,3,sulawesi,central_sulawesi,plts_dedieselisasi,solar,10.6,0,2024,plan,jetp,,1,560000,0,0,10000,0,0,10.6,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,1,
151,5,sulawesi,southeast_sulawesi,pltb_sulbagsel_kuota_tersebar,wind,60,0,2024,plan,jetp,,1,1280000,0,0,51000,0,0,60,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,1,
152,5,sulawesi,southeast_sulawesi,pltb_sulbagsel,wind,70,0,2024,plan,jetp,,1,1280000,0,0,51000,0,0,70,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,1,
153,5,sulawesi,southeast_sulawesi,pltb_sulbagsel_kuota_tersebar,wind,60,0,2028,plan,jetp,,1,1280000,0,0,51000,0,0,60,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,1,
154,5,sulawesi,southeast_sulawesi,pltb_sulbagsel_kuota_tersebar,wind,60,0,2028,plan,jetp,,1,1280000,0,0,51000,0,0,60,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,1,
155,5,sulawesi,southeast_sulawesi,pltb_sulbagsel_kuota_tersebar,wind,60,0,2029,plan,jetp,,1,1280000,0,0,51000,0,0,60,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,1,
156,5,sulawesi,southeast_sulawesi,pltb_sulbagsel_kuota_tersebar,wind,60,0,2029,plan,jetp,,1,1280000,0,0,51000,0,0,60,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,1,
157,5,sulawesi,southeast_sulawesi,pltb_sulbagsel_kuota_tersebar,wind,60,0,2030,plan,jetp,,1,1280000,0,0,51000,0,0,60,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,1,
158,5,sulawesi,southeast_sulawesi,pltb_sulbagsel_kuota_tersebar,wind,60,0,2030,plan,jetp,,1,1280000,0,0,51000,0,0,60,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,1,
159,1,sulawesi,north_sulawesi,north_sulawesi_geothermal_potential_ruen,geothermal,768,0,,potential,,,1,3440000,0,0,43000,0,0.22,768,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,1,,,0,
160,2,sulawesi,gorontalo,gorontalo_geothermal_potential_ruen,geothermal,110,0,,potential,,,1,3440000,0,0,43000,0,0.22,110,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,1,,,0,
161,3,sulawesi,central_sulawesi,central_sulawesi_geothermal_potential_ruen,geothermal,368,0,,potential,,,1,3440000,0,0,43000,0,0.22,368,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,0,,,0,
162,4,sulawesi,south_sulawesi,south_sulawesi_geothermal_potential_ruen,geothermal,163,0,,potential,,,1,3440000,0,0,43000,0,0.22,163,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,0,,,0,
163,5,sulawesi,southeast_sulawesi,southeast_sulawesi_geothermal_potential_ruen,geothermal,98,0,,potential,,,1,3440000,0,0,43000,0,0.22,98,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,0,,,0,
164,6,sulawesi,west_sulawesi,west_sulawesi_geothermal_potential_ruen,geothermal,162,0,,potential,,,1,3440000,0,0,43000,0,0.22,162,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,0,,,0,
165,1,sulawesi,north_sulawesi,north_sulawesi_hydropower_potential_ruen,hydropower,1322,0,,potential,,,1,2000000,0,0,36200,0,0.62,1322,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,,,1,
166,2,sulawesi,gorontalo,gorontalo_hydropower_potential_ruen,hydropower,1322,0,,potential,,,1,2000000,0,0,36200,0,0.62,1322,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,,,1,
167,3,sulawesi,central_sulawesi,central_sulawesi_hydropower_potential_ruen,hydropower,1323,0,,potential,,,1,2000000,0,0,36200,0,0.62,1323,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,,,1,
168,4,sulawesi,south_sulawesi,south_sulawesi_hydropower_potential_ruen,hydropower,3170,0,,potential,,,1,2000000,0,0,36200,0,0.62,3170,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,,,1,
169,5,sulawesi,southeast_sulawesi,southeast_sulawesi_hydropower_potential_ruen,hydropower,3170,0,,potential,,,1,2000000,0,0,36200,0,0.62,3170,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,,,1,
170,6,sulawesi,west_sulawesi,west_sulawesi_hydropower_potential_ruen,hydropower,0,0,,potential,,,1,2590000,0,0,50900,0,0.48,0,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,,,1,
171,1,sulawesi,north_sulawesi,north_sulawesi_hydropower_mini_potential_ruen,hydropower_mini,111,0,,potential,,,1,2000000,0,0,36200,0,0.62,111,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,,,1,
172,2,sulawesi,gorontalo,gorontalo_hydropower_mini_potential_ruen,hydropower_mini,117,0,,potential,,,1,2000000,0,0,36200,0,0.62,117,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,,,1,
173,3,sulawesi,central_sulawesi,central_sulawesi_hydropower_mini_potential_ruen,hydropower_mini,370,0,,potential,,,1,2000000,0,0,36200,0,0.62,370,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,,,1,
174,4,sulawesi,south_sulawesi,south_sulawesi_hydropower_mini_potential_ruen,hydropower_mini,762,0,,potential,,,1,2000000,0,0,36200,0,0.62,762,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,,,1,
175,5,sulawesi,southeast_sulawesi,southeast_sulawesi_hydropower_mini_potential_ruen,hydropower_mini,301,0,,potential,,,1,2000000,0,0,36200,0,0.62,301,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,,,1,
176,6,sulawesi,west_sulawesi,west_sulawesi_hydropower_mini_potential_ruen,hydropower_mini,7,0,,potential,,,1,2590000,0,0,50900,0,0.48,7,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,,,1,
177,1,sulawesi,north_sulawesi,north_sulawesi_biomass_potential_ruen,biomass,150,0,,potential,,,1,1820000,0,0,43800,0,2.8,150,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,0,,,1,
178,2,sulawesi,gorontalo,gorontalo_biomass_potential_ruen,biomass,119,0,,potential,,,1,1820000,0,0,43800,0,2.8,119,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,0,,,1,
179,3,sulawesi,central_sulawesi,central_sulawesi_biomass_potential_ruen,biomass,307,0,,potential,,,1,1820000,0,0,43800,0,2.8,307,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,0,,,1,
180,4,sulawesi,south_sulawesi,south_sulawesi_biomass_potential_ruen,biomass,890,0,,potential,,,1,1820000,0,0,43800,0,2.8,890,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,0,,,1,
181,5,sulawesi,southeast_sulawesi,southeast_sulawesi_biomass_potential_ruen,biomass,133,0,,potential,,,1,1820000,0,0,43800,0,2.8,133,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,0,,,1,
182,6,sulawesi,west_sulawesi,west_sulawesi_biomass_potential_ruen,biomass,198,0,,potential,,,1,1820000,0,0,43800,0,2.8,198,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,0,,,1,
183,1,sulawesi,north_sulawesi,north_sulawesi_biogas_potential_ruen,biogas,19,0,,potential,,,1,2150000,0,0,89200,0,0.1,19,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,0,,,1,
184,2,sulawesi,gorontalo,gorontalo_biogas_potential_ruen,biogas,12,0,,potential,,,1,2150000,0,0,89200,0,0.1,12,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,0,,,1,
185,3,sulawesi,central_sulawesi,central_sulawesi_biogas_potential_ruen,biogas,20,0,,potential,,,1,2150000,0,0,89200,0,0.1,20,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,0,,,1,
186,4,sulawesi,south_sulawesi,south_sulawesi_biogas_potential_ruen,biogas,69,0,,potential,,,1,2150000,0,0,89200,0,0.1,69,0.3,0.2,0.2,1,0,0,0,biogas,0,0,1,1,0,0,0,0,,,1,
